회사명 : 서바이빙에프앤비(주),,,,,,
품목코드,품목명,품목구분,규격정보,품목그룹1명,검색창내용,사용
A0118,돼지목살(냉장),[상품],11~12kg,,,YES
A0119,오겹살(냉동),[상품],18~21kg,,,YES
A0120,오겹살(냉장),[상품],18~21kg,,,YES
A0121,카보트소세지,[원재료],450g,,,YES
A0122,냉동절단대파,[원재료],10kg,,,YES
A0123,냉동 데친우거지10kg,[원재료],10kg,,,YES
A0124,냉동 절단 고사리,[원재료],10kg,,,YES
A0125,냉동 절단 토란,[원재료],kg,,,YES
A0126,청양고추,[원재료],1kg,,,YES
A0127,양파15kg,[원재료],15kg,,,YES
A0128,대파,[원재료],8kg,,,YES
A0129,대파 1단,[원재료],,,,YES
A0130,제주무(박스),[상품],20~25kg,,,YES
A0131,양배추(1망3통),[상품],3통,,,YES
A0132,무우,[원재료],ea,,,YES
A0133,미원25kg,[원재료],25kg,,,YES
A0134,정제수,[원재료],g,,,YES
A0135,음식물쓰레기봉투20L,[상품],20L,,,YES
A0136,음식물쓰레기봉투10L,[상품],10L,,,YES
A0137,머릿고기박스(측면타동),[원재료],420*305*220,,,YES
A0138,"국밥박스(무인쇄,타공)",[원재료],485*255*290,,,YES
A0139,진공지(350*500)나일론70,[원재료],1300*1box,,,YES
A0140,진공지(230*320)나일론70,[원재료],2300ea*1box,,,YES
A0141,스탠드파우치18*26,[원재료],2000ea,,,YES
A0142,식대,[무형상품],,,,YES
A0143,인건비,[무형상품],,,,YES
A0144,작업비,[무형상품],,,,YES
A0145,운반비,[무형상품],,,,YES
A0146,주방집기,[상품],,,,YES
A0147,육칠이 김치찌개 550g,[제품],550g,,,YES
a0151,진공지(15*20)나이론70,[원재료],4500ea,,,YES
2025/11/03  오후 2:40:24,,,,,,
